,fecha,portero_l,defensas_l,centrocampistas_l,delanteros_l,alineacion_l,local,Resultado_l,gol_l,gol_v,Resultado_v,visitante,alineacion_v,portero_v,defensas_v,centrocampistas_v,delanteros_v,victorias_l,empates,victorias_v
132,2021-11-20,73.0,68.29,69.06,70.33,4-3-3,SEVILLA,E,2,2,E,DEPORTIVO ALAVES,4-5-1,78.5,58.04,59.72,63.71,20,8,9
133,2021-11-20,85.83,61.8,76.39,76.33,4-4-2,ATLETICO,G,1,0,P,OSASUNA,5-3-2,72.5,59.69,62.89,65.17,45,15,28
134,2021-11-20,86.33,66.52,68.06,75.17,4-3-3,BARCELONA,G,1,0,P,ESPANYOL,5-4-1,72.67,63.87,68.5,69.56,124,48,46
135,2021-11-21,77.0,59.67,65.5,65.42,5-3-2,GETAFE,G,4,0,P,CADIZ,4-4-2,72.5,60.64,64.52,63.64,5,0,5
136,2021-11-21,71.83,62.46,66.86,68.39,4-2-3-1,GRANADA,P,1,4,G,REAL MADRID,4-3-3,81.5,74.0,73.67,74.33,7,10,39
137,2021-11-21,73.17,50.96,61.44,65.67,4-4-2,ELCHE,P,0,3,G,REAL BETIS,4-2-3-1,76.83,61.43,70.72,64.75,16,18,19
138,2021-11-21,77.67,60.75,70.56,68.06,4-5-1,R. SOCIEDAD,E,0,0,E,VALENCIA,4-2-3-1,79.0,64.04,72.11,65.44,50,38,68
139,2021-11-22,70.5,57.92,63.89,67.0,4-2-3-1,RAYO VALLECANO,G,3,1,P,MALLORCA,4-2-3-1,68.17,61.21,66.76,59.33,17,11,23
140,2021-11-26,77.17,67.17,68.7,39.75,4-4-2,ATHLETIC,E,2,2,E,GRANADA,4-4-2,71.83,61.84,65.83,66.39,29,12,15
141,2021-11-27,78.5,58.04,59.72,63.71,4-5-1,DEPORTIVO ALAVES,P,1,2,G,CELTA,4-4-2,68.0,60.17,68.67,71.94,24,16,26
142,2021-11-27,79.0,64.04,71.54,65.44,4-4-2,VALENCIA,E,1,1,E,RAYO VALLECANO,4-2-3-1,70.5,57.92,64.67,67.0,27,11,8
143,2021-11-27,68.17,62.25,65.32,64.83,4-2-3-1,MALLORCA,E,0,0,E,GETAFE,5-3-2,77.0,59.67,65.5,65.42,13,8,11
144,2021-11-27,76.83,63.83,67.72,68.67,4-2-3-1,VILLARREAL,P,1,3,G,BARCELONA,4-3-3,86.33,63.17,68.06,70.0,9,10,29
145,2021-11-28,76.83,66.12,71.12,64.75,4-2-3-1,REAL BETIS,G,3,1,P,LEVANTE,4-4-2,68.33,66.0,72.28,69.67,22,9,15
146,2021-11-28,72.67,64.5,68.28,69.56,4-2-3-1,ESPANYOL,G,1,0,P,R. SOCIEDAD,4-2-3-1,77.67,63.42,64.0,71.92,52,44,61
147,2021-11-28,72.5,60.64,65.0,64.05,4-4-2,CADIZ,P,1,4,G,ATLETICO,3-5-2,85.83,61.44,75.67,76.06,5,8,17
