,portero_l,defensas_l,centrocampistas_l,delanteros_l,alineacion_l,local,Resultado_l,visitante,alineacion_v,portero_v,defensas_v,centrocampistas_v,delanteros_v,victorias_l,empates,victorias_v
71,72.01620370370371,56.687916666666666,62.041666666666664,66.8888888888889,4-2-3-1,ALMERIA,G,RAYO VALLECANO,4-2-3-1,72.66666666666667,60.958333333333336,70.19444444444446,62.50833333333333,5,2,10
72,85.83333333333333,62.083333333333336,73.08333333333333,75.29166666666667,5-4-1,ATLETICO,G,GIRONA,5-3-2,72.01620370370371,56.52466666666667,63.875,54.833333333333336,1,5,0
73,75.0,66.41666666666667,71.83333333333333,66.83333333333333,4-3-3,SEVILLA,E,ATHLETIC,4-2-3-1,77.16666666666667,68.375,68.625,68.1388888888889,73,31,73
74,77.0,61.46666666666667,68.91111111111111,64.91666666666667,5-3-2,GETAFE,P,REAL MADRID,4-3-3,70.83333333333333,71.25,73.625,72.75,6,4,25
75,78.16666666666667,63.05166666666667,64.5,66.77777777777779,4-2-3-1,REAL VALLADOLID,E,REAL BETIS,4-2-3-1,76.83333333333333,63.75,66.40500000000002,62.777499999999996,26,25,37
76,72.5,64.86874999999999,62.583333333333336,66.29166666666667,4-4-2,CADIZ,E,ESPANYOL,4-2-3-1,76.33333333333333,63.366666666666674,65.46333333333334,62.083333333333336,10,11,16
77,77.66666666666667,62.81458333333334,69.83333333333333,67.16666666666667,4-4-2,R. SOCIEDAD,G,VILLARREAL,4-4-2,76.83333333333333,64.875,70.875,69.36166666666668,12,16,19
78,86.33333333333333,69.99958333333333,65.66666666666666,74.77777777777777,4-3-3,BARCELONA,G,CELTA,4-4-2,78.83333333333333,59.791666666666664,67.27777777777777,68.1111111111111,70,31,27
79,73.16666666666667,63.208333333333336,56.22222222222223,64.44444444444444,5-3-2,ELCHE,E,MALLORCA,5-4-1,70.33333333333333,64.10000000000001,63.67250000000001,54.5,13,14,9
80,70.5,60.958333333333336,63.888888888888886,64.11111111111111,4-2-3-1,RAYO VALLECANO,E,GETAFE,5-3-2,77.0,61.46666666666667,68.6111111111111,64.91666666666667,11,6,8
81,72.01620370370371,56.52466666666667,63.875,54.833333333333336,3-5-2,GIRONA,E,CADIZ,4-4-2,72.5,66.66041666666666,63.333333333333336,65.11111111111111,4,1,4
82,76.41666666666667,67.66666666666667,66.85166666666667,68.6111111111111,4-3-3,VALENCIA,E,ELCHE,4-5-1,73.16666666666667,62.125,58.61111111111111,64.94444444444444,28,11,17
83,70.33333333333333,64.10000000000001,63.67250000000001,61.166666666666664,5-4-1,MALLORCA,P,SEVILLA,3-6-1,73.0,68.46666666666667,71.125,72.0,19,24,31
84,77.16666666666667,68.375,67.56944444444444,68.1388888888889,4-2-3-1,ATHLETIC,P,ATLETICO,4-4-2,85.83333333333333,62.083333333333336,74.125,74.16666666666667,81,36,91
85,78.83333333333333,59.791666666666664,67.27777777777777,68.1111111111111,4-4-2,CELTA,P,R. SOCIEDAD,4-4-2,77.66666666666667,62.958333333333336,69.25,67.16666666666667,41,34,56
86,70.83333333333333,74.875,73.45833333333333,73.58333333333333,4-3-3,REAL MADRID,G,BARCELONA,4-3-3,86.33333333333333,63.22166666666667,70.875,75.77777777777779,100,52,99
87,76.33333333333333,64.371,65.46333333333334,64.5,4-4-2,ESPANYOL,G,REAL VALLADOLID,4-2-3-1,78.16666666666667,64.79666666666667,64.91666666666667,66.77777777777779,39,28,32
88,76.83333333333333,63.5,66.40500000000002,62.777499999999996,4-2-3-1,REAL BETIS,G,ALMERIA,4-3-3,72.01620370370371,56.687916666666666,63.75,62.166666666666664,3,1,6
89,76.83333333333333,64.625,68.3888888888889,69.5188888888889,4-4-2,VILLARREAL,G,OSASUNA,4-3-3,72.5,59.88041666666667,62.888888888888886,66.55555555555556,18,8,18
90,73.0,68.91266666666667,72.41666666666667,64.16666666666667,3-6-1,SEVILLA,E,VALENCIA,5-4-1,76.41666666666667,65.23333333333333,68.33333333333333,68.0,76,35,88
91,77.0,59.00966666666667,68.6111111111111,64.91666666666667,5-3-2,GETAFE,E,ATHLETIC,4-2-3-1,77.16666666666667,65.625,68.55208333333333,65.45833333333333,9,14,11
92,74.0,62.083333333333336,73.33333333333333,74.16666666666667,4-4-2,ATLETICO,E,RAYO VALLECANO,4-2-3-1,70.5,57.625,64.41666666666667,67.6111111111111,24,10,9
93,72.5,61.35374999999999,63.416666666666664,67.61916666666666,4-4-2,CADIZ,E,REAL BETIS,4-2-3-1,78.5,56.708333333333336,62.76222222222223,65.40722222222223,16,19,35
94,78.16666666666667,62.843999999999994,64.5,64.33333333333333,5-3-2,REAL VALLADOLID,G,CELTA,4-4-2,78.83333333333333,63.249583333333334,67.16666666666667,68.1111111111111,29,27,43
95,77.66666666666667,63.73125000000001,69.83333333333333,67.16666666666667,4-4-2,R. SOCIEDAD,G,MALLORCA,5-4-1,70.33333333333333,59.93333333333334,67.05555555555556,68.16666666666667,27,11,24
96,73.16666666666667,62.67933333333334,56.666666666666664,66.22222222222223,4-4-2,ELCHE,P,REAL MADRID,4-3-3,70.83333333333333,71.25,75.22222222222221,72.94444444444444,6,12,33
97,72.01620370370371,56.687916666666666,62.041666666666664,66.8888888888889,4-2-3-1,ALMERIA,G,GIRONA,4-4-2,72.01620370370371,56.03083333333334,63.875,58.555555555555564,9,6,5
98,79.0,59.666666666666664,61.405,65.54166666666667,4-5-1,OSASUNA,G,ESPANYOL,4-2-3-1,76.33333333333333,63.366666666666674,67.90777777777778,65.33333333333333,31,18,28
99,86.33333333333333,72.0,70.58333333333333,72.0,4-3-3,BARCELONA,G,VILLARREAL,4-4-2,76.83333333333333,64.875,68.3888888888889,69.5188888888889,30,10,10
100,70.5,60.958333333333336,63.888888888888886,64.11111111111111,4-2-3-1,RAYO VALLECANO,G,CADIZ,4-2-3-1,72.5,66.66041666666666,63.333333333333336,64.60333333333334,17,14,14
101,78.16666666666667,63.34799999999999,63.416666666666664,66.16666666666667,5-3-2,REAL VALLADOLID,G,R. SOCIEDAD,4-4-2,77.66666666666667,63.416666666666664,69.83333333333333,64.83333333333333,30,31,42
102,76.41666666666667,65.58333333333333,66.85166666666667,68.6111111111111,4-3-3,VALENCIA,P,MALLORCA,5-4-1,70.33333333333333,63.26666666666667,65.33916666666667,54.5,39,15,14
